final_rank,drug_id,drug_name,target,pathway,predicted_ic50,sensitivity_rate,validation_score,safety_score,combined_score,category,clinical_bucket,known_brca,target_expressed,brca_pathway,survival_sig,survival_p,flags,n_assays_tested,recommendation_note
1,1034,Staurosporine,Broad spectrum kinase inhibitor,RTK signaling,-0.2666945,1.0,7.55,10.0,14.5,Candidate,Breast cancer current/relevant use,1,1,0,1,0.01,[],1,"Biologically plausible candidate with supportive validation, but additional safety or translational review is needed."
2,1819,Docetaxel,Microtubule stabiliser,Mitosis,-4.3071065,0.92,9.45,6.83,14.33,Approved,Breast cancer current/relevant use,1,1,1,1,0.01,['DILI (Drug-Induced Liver Injury)(+)'],12,Breast-cancer relevant and ADMET-screened. Suitable as a primary shortlist candidate.
3,2048,Vinorelbine,Microtubule destabiliser,Mitosis,-1.5775554,1.0,9.2,8.0,14.0,Approved,Breast cancer current/relevant use,1,1,1,1,0.01,[],10,Breast-cancer relevant and ADMET-screened. Suitable as a primary shortlist candidate.
4,1808,Topotecan,TOP1,DNA replication,-0.8852633,0.8846153846153846,7.6,9.0,14.0,Candidate,Breast cancer current/relevant use,1,1,1,1,6.331006623497154e-05,[],10,"Biologically plausible candidate with supportive validation, but additional safety or translational review is needed."
5,1080,Paclitaxel,Microtubule stabiliser,Mitosis,-3.4391427,1.0,9.4,6.83,13.83,Approved,Breast cancer current/relevant use,1,1,1,1,0.01,['DILI (Drug-Induced Liver Injury)(+)'],12,Breast-cancer relevant and ADMET-screened. Suitable as a primary shortlist candidate.
6,1811,Dactinomycin,RNA polymerase,Other,-2.999836,1.0,7.85,7.0,13.5,Approved,Breast cancer current/relevant use,1,1,0,1,0.01,['DILI (Drug-Induced Liver Injury)(+)'],5,Breast-cancer relevant and ADMET-screened. Suitable as a primary shortlist candidate.
7,1004,Vinblastine,Microtubule destabiliser,Mitosis,-1.4824135,1.0,9.15,7.83,13.33,Approved,Breast cancer current/relevant use,1,1,1,1,0.01,[],12,Breast-cancer relevant and ADMET-screened. Suitable as a primary shortlist candidate.
8,1011,Navitoclax,"BCL2, BCL-XL, BCL-W",Apoptosis regulation,1.7589177,0.9310344827586208,6.25,10.0,11.0,Candidate,Breast cancer exploratory candidate,0,1,1,1,4.293424033802715e-10,[],2,"Biologically plausible candidate with supportive validation, but additional safety or translational review is needed."
9,1003,Camptothecin,TOP1,DNA replication,1.8269312,1.0,8.15,10.0,10.5,Candidate,Breast cancer current/relevant use,1,1,1,1,6.331006623497154e-05,[],5,"Biologically plausible candidate with supportive validation, but additional safety or translational review is needed."
10,1084,Rapamycin,MTORC1,PI3K/MTOR signaling,0.77469987,1.0,8.8,7.71,10.21,Approved,Breast cancer current/relevant use,1,1,1,1,0.01,[],7,Breast-cancer relevant and ADMET-screened. Suitable as a primary shortlist candidate.
11,1088,Irinotecan,TOP1,DNA replication,0.34598753,0.3214285714285714,7.45,5.56,9.56,Candidate,Breast cancer current/relevant use,1,1,1,1,6.331006623497154e-05,[],9,"Biologically plausible candidate with supportive validation, but additional safety or translational review is needed."
12,1862,MG-132,"Proteasome, CAPN1",Protein stability and degradation,0.9555576,1.0,6.65,6.67,8.67,Candidate,Breast cancer exploratory candidate,0,1,1,1,0.0022722738044916,[],3,"Biologically plausible candidate with supportive validation, but additional safety or translational review is needed."
13,1026,Tanespimycin,HSP90,Protein stability and degradation,0.5398705,1.0,6.9,5.0,8.5,Candidate,Breast cancer exploratory candidate,0,1,1,1,0.01,[],2,"Biologically plausible candidate with supportive validation, but additional safety or translational review is needed."
14,1191,Bortezomib,Proteasome,Protein stability and degradation,1.2839334,1.0,8.55,5.29,6.79,Approved,Breast cancer current/relevant use,1,1,1,1,0.01,['DILI (Drug-Induced Liver Injury)(+)'],7,Breast-cancer relevant and ADMET-screened. Suitable as a primary shortlist candidate.
15,1511,Epirubicin,Anthracycline,DNA replication,0.6785437,1.0,8.85,2.83,5.83,Caution,Breast cancer current/relevant use,1,1,1,1,0.01,"['Ames Mutagenicity(+)', 'DILI (Drug-Induced Liver Injury)(+)']",15,"Efficacy signal exists, but safety flags were detected. Keep as a low-priority caution item."
